principal component 1,principal component 2,principal component 3,position,diameter,elongation,umap1,umap2,names,colors,position,P60709;P63261,P68032,P62805,P10412,Q9H1E3,P06493,P46013
90.6292803977483,-28.08429231067135,-6.115944626931712,B18,20.75,1.37,11.198925,8.6854315,SC_20-25,green,B18,3.1661121497282245,2.0870228845174306,3.1023378231036167,2.028001043833742,-0.44445068455622255,0.5296728115872437,-0.7252657846548227
92.09631508659703,-25.458872639369226,18.263115407500727,B19,21.46,1.48,11.012805,8.4322405,SC_20-25,green,B19,3.511206851879003,1.1080826282857243,3.6153412883380707,2.011889914689599,-1.5484084190774372,0.1760373863597583,-0.5971640110870641
-33.64066897660942,21.138857748195143,3.4462795876846184,B20,19.36,1.24,14.788731,11.915251,SC_15-20,blue,B20,3.984831527416991,2.6294286729481926,4.275198151652473,3.7221947990032382,-1.480509932745093,1.3543461393669078,0.518315732139541
115.48126155182982,6.298831070910701,7.2907156206033665,B21,19.45,1.36,10.725718,8.652671,SC_15-20,blue,B21,3.06694036470894,1.6904373517309876,2.934563630591292,2.3107220965260797,-4.715573240190363,0.5742820077392425,-0.2869625537049668
53.0298665525989,-18.67070957849515,5.13876041096644,C18,23.19,1.35,12.10641,8.684282,SC_20-25,green,C18,3.034724245810048,-4.715573240190363,3.6017335448879435,2.5913897348799946,0.7727851248039201,0.9825728949849695,0.26391126396754233
64.1995236437921,-0.20837240997720768,-3.2664268662182407,C19,21.63,1.44,11.864745,9.208311,SC_20-25,green,C19,3.4053324889158882,-4.715573240190363,3.5901346390040754,2.97037493983981,-0.9727345713622467,0.2696186817730714,-0.6163105032716534
63.057587352783756,-10.057452658087303,-0.3501668124015645,C20,18.47,1.27,11.753897,9.04176,SC_15-20,blue,C20,3.4033233692069076,2.1444539503470628,3.6467314038797856,2.786418219590514,-1.1402092740652996,0.4156757312561301,-0.5696063034353356
13.280557328176325,47.360605000903654,6.713796140788129,C21,19.23,1.33,13.33537,12.544859,SC_15-20,blue,C21,3.965322405176863,-4.715573240190363,4.331389806795512,3.7675350258135754,-4.715573240190363,0.8453663818410403,-0.7920266408032288
-43.98829354790203,-28.279257689000005,-14.623073912536476,D18,24.94,1.38,14.849054,10.202128,SC_20-25,green,D18,3.8699032070000854,0.21842625546381522,3.913805970903795,2.8863982490038276,-1.1603219014650723,0.7571515434687683,-0.728883807709892
27.296992935891165,-4.121611719987311,-11.810654959820893,D19,22.05,1.24,12.666512,9.429163,SC_20-25,green,D19,3.643771397115912,1.7981248172475015,3.759220743755535,3.3747095059508245,-4.715573240190363,0.9727989902002757,0.32929994698685383
73.89386176831134,-13.849609619781322,2.6342476866666384,D20,18.36,1.48,11.462037,8.859288,SC_15-20,blue,D20,3.276774921466602,2.8757031786139344,3.7161612029091655,2.4494018966035895,-0.7088974745129466,1.3142689362666142,-0.30166688771355354
87.68920487581174,10.45583663941593,-32.60781924079028,D21,19.45,1.31,11.068266,9.218372,SC_15-20,blue,D21,3.2544739263925986,-4.715573240190363,3.585097427814924,2.8176783326452175,-4.715573240190363,0.5910768585924676,0.2743771201563623
13.495912435015526,-12.84016811888394,-22.646822855172985,E18,21.58,1.44,13.038001,9.622053,SC_20-25,green,E18,3.7096220513809195,1.644566165139453,3.8356899221759737,3.0348696140388953,-0.20112512069663768,0.9980537897942329,0.35311697159980454
69.33508028274541,-5.857865365179416,-25.191840366752743,E19,22.47,1.43,11.43586,9.238819,SC_20-25,green,E19,3.343419494333272,0.06051745728786245,3.4220372656388465,2.9538602421946685,-4.715573240190363,0.35231722134288307,0.12617572618437675
98.96526299791685,4.361881218063832,-29.031762655618483,E20,19.07,1.4,10.939267,8.998296,SC_15-20,blue,E20,2.989590962817876,-4.715573240190363,3.179890853054075,2.362220392994885,-0.46352796097411125,0.7747063936059981,-0.07184493065395951
