pc1,pc2,pc3,names,files,colors,index,umap1,umap2,names,files
75.28267962644802,1.6685863815399058,8.694038135888057,TE,D13,#264d8c,TE_D13,16.116758,11.933822,TE,D13
75.62059377885898,2.66374424581154,17.394479326680493,TE,D15,#264d8c,TE_D15,15.732747,11.535763,TE,D15
72.82984319606022,-0.42133173344440195,-7.029823158151229,TE,D17,#264d8c,TE_D17,15.381627,12.380788,TE,D17
76.19727428342574,-9.050336422652451,-0.2769862048868582,TE,D18,#264d8c,TE_D18,15.562773,11.934182,TE,D18
76.38875818677907,-20.617901100303744,7.5925464414926145,TE,D19,#264d8c,TE_D19,15.799175,12.037439,TE,D19
74.18473700607858,-9.369071174743233,1.2831216453903451,TE,D22,#264d8c,TE_D22,15.384827,11.795201,TE,D22
77.3215026633631,-7.436879487016821,-2.546619472792962,TE,D23,#264d8c,TE_D23,15.880189,12.883294,TE,D23
76.88057509851177,-12.408835079260593,6.453444014387514,TE,E13,#264d8c,TE_E13,15.992618,12.453612,TE,E13
72.35516863013592,7.393017086857646,-14.908361630302242,TE,E14,#264d8c,TE_E14,15.531161,12.72987,TE,E14
74.11185544048384,15.181515778099529,-6.230864844477616,TE,E16,#264d8c,TE_E16,15.13769,12.302495,TE,E16
77.1087547350004,-12.32460233989305,5.451084755624254,TE,E18,#264d8c,TE_E18,15.129035,11.554029,TE,E18
74.6317535178557,25.553370560613793,-14.165851960260389,TE,E21,#264d8c,TE_E21,14.873132,12.655553,TE,E21
-50.654510589515155,-21.491866582029722,-4.7024457922159915,hPSC,D2,#44b7c2,hPSC_D2,0.16390452,-12.051995,hPSC,D2
-43.045779153293665,-0.8187940462835189,-12.826043392253762,hPSC,D3,#44b7c2,hPSC_D3,1.19442,-11.408628,hPSC,D3
-46.08111731418378,-6.301592153035441,29.629000936265776,hPSC,D4,#44b7c2,hPSC_D4,0.69704425,-12.845398,hPSC,D4
-32.63921687588869,15.900348308544864,-8.832869736982216,hPSC,D5,#44b7c2,hPSC_D5,1.0681046,-11.872979,hPSC,D5
-49.75186268013957,-18.9165079825605,-2.301311976388699,hPSC,D6,#44b7c2,hPSC_D6,-0.032715447,-12.245044,hPSC,D6
-35.1947393763178,39.383276900588214,23.571490441738867,hPSC,D7,#44b7c2,hPSC_D7,1.9592967,-12.896323,hPSC,D7
-42.18993653282214,-0.9145903231775363,-10.390180013806939,hPSC,D8,#44b7c2,hPSC_D8,0.24626346,-11.766351,hPSC,D8
-37.35351993905215,8.991672102824166,-16.10417487522997,hPSC,D9,#44b7c2,hPSC_D9,0.6583036,-11.407767,hPSC,D9
-49.85414324137981,-12.165458176309198,15.720719342404228,hPSC,E2,#44b7c2,hPSC_E2,0.9104128,-12.583173,hPSC,E2
-39.881447754068574,15.814634477026845,14.848790015560159,hPSC,E3,#44b7c2,hPSC_E3,1.7106326,-12.664937,hPSC,E3
-37.2220619773036,18.27988454625586,15.434568141785805,hPSC,E5,#44b7c2,hPSC_E5,1.5078621,-12.357691,hPSC,E5
-46.727629714025504,-21.09152482673351,-10.531386213920333,hPSC,E6,#44b7c2,hPSC_E6,-0.13621558,-12.829072,hPSC,E6
-34.97552424021866,33.83987747149002,-6.851384232710294,hPSC,E7,#44b7c2,hPSC_E7,2.0258136,-12.196719,hPSC,E7
-36.62499427496145,30.204698447722528,10.00899586877295,hPSC,E8,#44b7c2,hPSC_E8,2.2775655,-12.9340515,hPSC,E8
-49.111120169821405,-22.541674865021893,-8.55914093881516,hPSC,E9,#44b7c2,hPSC_E9,0.4685156,-12.351756,hPSC,E9
-40.712408128154514,5.733837161552027,-21.68839678645529,hPSC,F2,#44b7c2,hPSC_F2,1.6020746,-11.672382,hPSC,F2
-45.363409196341145,4.069854801580254,13.990290061397182,hPSC,F3,#44b7c2,hPSC_F3,1.3862631,-13.157359,hPSC,F3
-50.40300145646773,-26.22485416273382,-5.2329285563296715,hPSC,F4,#44b7c2,hPSC_F4,0.00110811,-13.159168,hPSC,F4
-34.17282207448187,16.921188941683432,-29.38792073431612,hPSC,F5,#44b7c2,hPSC_F5,1.6491597,-11.133567,hPSC,F5
-49.81621588312548,-16.193606893203253,11.78442631397454,hPSC,F6,#44b7c2,hPSC_F6,0.65187025,-13.407564,hPSC,F6
-51.13803559143851,-23.31007986378758,0.7096950789327883,hPSC,F7,#44b7c2,hPSC_F7,0.28559148,-12.960307,hPSC,F7
