H200_Y50_mean,H240_Y10_mean,H200_Y50_cv,H240_Y10_cv,H200_Y50_IsSingleHit,H240_Y10_IsSingleHit,organism
1249.1089274088542,1315.911376953125,0.03962142052460992,0.014788790561967607,True,True,Human
139.19927469889322,129.80033365885416,0.27215968359862674,0.09157512382831744,False,False,Human
2853.3292643229165,3957.4606119791665,0.05448796083356419,0.026061859850825164,False,False,Human
69.14405568440755,75.7279904683431,0.17427482643037595,0.2802487382051014,False,False,Human
155.05268351236978,239.3697764078776,0.13776882311160998,0.16402149770686775,False,False,Human
96.40402475992839,236.06924947102866,0.2805589060026712,0.08974869728046608,False,False,Human
466.11798095703125,503.98816935221356,0.04088103304429644,0.043886114752829,False,False,Human
723.5706176757812,428.3764953613281,0.19246698233547996,0.053460315242340004,False,False,Human
190.01912943522134,261.28352483113605,0.29784988387889344,0.9546016979309995,False,False,Human
79.4324722290039,166.93474833170572,0.17188383588850692,0.08858326360685116,True,True,Human
173.48206583658853,199.32337443033853,0.058758132617392,0.15662658539224228,False,False,Human
57.29995854695638,158.15564473470053,0.03790229313349349,0.11723354073824571,False,False,Human
2571.975830078125,3266.3767903645835,0.026265353298521116,0.06719301058301481,False,False,Human
175.5623982747396,144.9146931966146,0.22278638639775875,0.4716222000943119,True,True,Human
219.07123311360678,328.8051452636719,0.17097202483604163,0.07464211204145423,False,False,Human
134.12039693196616,634.4757080078125,0.1114502395196319,0.01870530488100951,False,False,Human
97.00838979085286,163.88404846191406,0.17276176646084712,0.06041463029651056,False,False,Human
71.0605951944987,34.565025329589844,0.1866866207217402,0.18306744688420812,False,False,Human
80.79622014363606,89.45591481526692,0.2231513684472634,0.23770195969036442,False,False,Human
285.7871907552083,410.7303873697917,0.0771498929398055,0.096723284247583,False,False,Human
147.8506825764974,95.52777353922527,0.06909984941239118,0.20368134330907584,False,False,Human
136.58705139160156,228.49845377604166,0.12767119509287658,0.054410511868207494,False,False,Human
311.2560119628906,225.8753662109375,0.1964775818013804,0.2616687569595052,True,False,Human
44.397298177083336,124.45157114664714,0.2710061275530721,0.02361865755114902,False,False,Human
121.92858123779297,259.30987548828125,0.24058261038240372,0.1403235296616468,False,True,Human
1305.2460530598958,1862.9690755208333,0.007922024618906546,0.015237268014323046,False,False,Human
285.5565999348958,557.6896362304688,0.013845967934583188,0.06701225132137081,False,False,Human
198.9830067952474,364.8904622395833,0.0173624124833642,0.10943870595429254,False,False,Human
1051.1595662434895,799.2113240559896,0.10583843254894831,0.01507831008623351,False,False,Human
170.44149271647134,172.36660766601562,0.07990467224301816,0.09359189448143485,False,False,Human
179.31160481770834,243.34606424967447,0.077179134719136,0.016027519471780827,False,False,Human
381.7784016927083,376.2322082519531,0.059189772210420315,0.210444243538027,True,True,Human
