,pc1,pc2,pc3,names,files,colors,P05783,P08727,P57735,P98082,P46937,Q96FQ6,Q3SY56,P12830,Q07075,P52569,Q96D42,O00151,Q7L190,Q7Z7J5,Q9UGT4,Q9UJW3
hPSC_B10,-52.26244631781205,-24.495108636638644,41.96697764157799,hPSC,B10,#44b7c2,1.6906741818310664,1.320652918835156,-0.03681148966789423,-0.5033796807911283,-0.03514627578713877,0.24536545252494923,-6.67312420067893,0.10497332209845715,1.0621932464054848,-0.20838011486500013,-0.8365355311526865,1.6747850202864485,0.42479346773220966,0.20654655944662542,0.5499211183938092,1.5933877729548485
hPSC_C11,-50.34356207719527,-19.01873051920406,-20.262480768483634,hPSC,C11,#44b7c2,1.7633852445817824,1.3303159768572261,-0.05324297236858385,-0.3322742977494692,0.11438196460964116,0.4106955569140212,-6.67312420067893,0.05401363211825135,0.5945603731320902,-0.11524198773377169,-0.5775293261923923,1.7285203676424445,0.4076889083897988,0.22500934486782892,0.6969887884531025,1.6177841940960762
hPSC_D12,-54.766902206289664,44.854816259946816,-19.453483869535958,hPSC,D12,#44b7c2,1.6475932815848582,1.3916264341438795,0.11428429260806308,-0.46055508989027755,0.15858638808945263,0.27420393316718616,-6.67312420067893,0.10138259659716277,1.081799579956484,-0.06493026274919693,-0.6399612416758111,1.6443985728622874,0.10789574772598144,0.14707251273730348,0.25748539888991645,1.6389559523445327
TE_B12,49.498137015665996,-15.090484340324288,-23.242325647385407,TE,B12,#2c59a2,3.5996423941686237,3.311283308957431,0.7135125039553286,0.8770759196361693,1.1940855723687243,2.064292215481104,0.3451110203641604,0.3505394113954451,1.488800389863398,1.315680746672368,0.8569968363452699,2.0120630367084282,-0.6907647554520714,-0.8715823993445736,0.07166335702141655,1.37302631044636
TE_C12,50.21540015771609,-23.250659015031445,-6.436118494599054,TE,C12,#2c59a2,3.5505618237852965,3.2333248621690465,0.7225767450113216,0.9232570025126279,1.1890661861381,1.9428770251038454,0.7299290292529643,0.4133273160108095,1.2800499451567806,1.4560814094443426,0.8699780606615529,1.907728423690275,-0.5347794654547399,-0.8303022220616999,0.19237554532609522,1.3724318394949835
TE_D12,57.65937342791481,37.0001662512516,27.427431138426083,TE,D12,#2c59a2,3.61080284088376,3.2389681536131683,0.5698552871060186,0.9457672187040188,1.1277705085163543,2.012907803569911,0.5568646008722121,0.3572143065597289,1.5799037031504093,1.3069753615215949,0.8173927779503721,1.8665786350563716,-1.579120813960704,-0.7210012053686428,-0.7231894285493278,1.2956368821474036
