names	names	pc1	pc2	KRT18	KRT19	RAB25	DAB2	YAP1	S100A16	SP6	CDH1	ENPEP	SLC7A2	HAVCR1	PDLIM1	DPPA4	DPPA2	SUSD2	DNMT3L
TE	TE	75.28267962644802	1.6685863815399058	2.6100345664117546	2.4758593832554934	-0.5768004750624157	-0.4647488076330761	-0.2751326538690501	0.7391465245321674	-5.258550857545077	-1.2346270542880073	0.11747443364873318	0.5923771109180316	-5.258550857545077	0.9747478175643788	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.2062837519975847
TE	TE	75.62059377885898	2.66374424581154	2.72922352737049	2.5766156483367455	-0.5071847458249921	-5.258550857545077	0.12229596589019255	0.5889236423947172	-0.7540688914761939	-5.258550857545077	0.027306743394611758	-0.27294820207344866	-0.6657945541931838	0.8109353817609782	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.005460675416636562
TE	TE	72.82984319606022	-0.42133173344440195	2.486645075200369	2.1662353297322845	-5.258550857545077	-0.5914467608192964	-0.500447101139224	0.8709666001949261	-5.258550857545077	-5.258550857545077	-0.287849196177598	0.19598306736125334	0.12513882728060557	0.6260126156352339	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.8018266382325042
TE	TE	76.19727428342574	-9.050336422652451	2.4772945996265716	2.422553192518804	-0.535216719430627	-0.06999924415424959	-0.1206588079601161	1.372065339264996	-1.5754043114228047	-5.258550857545077	0.5363868610872887	0.8350383299876715	-0.6530910079732635	0.7167154595924315	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.28037780838329746
TE	TE	76.38875818677907	-20.617901100303744	2.769778615247014	2.186639885279491	-0.40471991141423247	-0.2238818201034551	0.16841521100542647	0.7991471542692713	-0.15368487442981055	-0.40254851919160095	0.011267540632060523	0.09022052845216397	0.47040127733572756	0.9088743260866878	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.6753053539997885
TE	TE	74.18473700607858	-9.369071174743233	3.1780463706200575	2.8874015934943724	-0.5074560716898173	-0.5941626656583544	-0.3561705497194555	1.1554882655626724	-5.258550857545077	-5.258550857545077	-0.41716532342809887	-0.7700804913181184	-0.2026963220812638	0.5852199666936281	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.5475125329132283
TE	TE	77.3215026633631	-7.436879487016821	2.7053726313537214	2.7128928710676266	-0.6626555857589198	-0.46308449376629923	0.2519934404547366	0.6339289800594985	-0.33621250988169676	-0.28817460222377744	0.5490311029325284	0.38726591551656037	-0.5309038593223094	0.6487096447564717	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.5387597593222262
TE	TE	76.88057509851177	-12.408835079260593	2.7300826155156668	2.406606418275775	-5.258550857545077	-0.09593050082154311	0.14932195359928785	0.7616082200767487	-1.3644558954262065	-5.258550857545077	0.05286945829821763	0.4892645597386635	-0.02093203618607033	0.9603758085392365	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.1950363445557408
TE	TE	72.35516863013592	7.393017086857646	2.8625428084303897	2.678372384883913	-5.258550857545077	-0.6669140876906012	-0.06133264973371596	0.8615802668462829	-2.021496200426386	-0.6767513292091578	-5.258550857545077	0.4813635872657193	-0.22928878243068954	0.5964109387369289	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.4904358015508553
TE	TE	74.11185544048384	15.181515778099529	2.5438624465392317	2.440795947737918	-5.258550857545077	-0.2119304504294984	-0.2871832983905989	0.23041535495694263	-0.6495015552060844	-5.258550857545077	-5.258550857545077	0.40209301691559374	-0.4145596311797556	0.9919853530731336	-5.258550857545077	-5.258550857545077	-5.258550857545077	0.15941314797791906
