names	principal component 1	principal component 2	umap1	umap2	P60709;P63261	P68032	P62805	P10412	Q9H1E3	P06493	P46013
SC_20-25	90.62928039892057	-28.08532499788438	11.198925	8.6854315	3.1661121497282245	2.0870228845174306	3.1023378231036167	2.028001043833742	-0.44445068455622255	0.5296728115872437	-0.7252657846548227
SC_20-25	92.09631508629344	-25.459367376391942	11.012805	8.4322405	3.511206851879003	1.1080826282857243	3.6153412883380707	2.011889914689599	-1.5484084190774372	0.1760373863597583	-0.5971640110870641
SC_15-20	-33.64066897646871	21.139165215559185	14.788731	11.915251	3.984831527416991	2.6294286729481926	4.275198151652473	3.7221947990032382	-1.480509932745093	1.3543461393669078	0.518315732139541
SC_15-20	115.48126155274223	6.297727556616581	10.725718	8.652671	3.06694036470894	1.6904373517309876	2.934563630591292	2.3107220965260797	-4.715573240190363	0.5742820077392425	-0.2869625537049668
SC_20-25	53.02986655414063	-18.668831815450925	12.10641	8.684282	3.034724245810048	-4.715573240190363	3.6017335448879435	2.5913897348799946	0.7727851248039201	0.9825728949849695	0.26391126396754233
SC_20-25	64.19952364505652	-0.20730476312223342	11.864745	9.208311	3.4053324889158882	-4.715573240190363	3.5901346390040754	2.97037493983981	-0.9727345713622467	0.2696186817730714	-0.6163105032716534
SC_15-20	63.05758734826808	-10.056442004317459	11.753897	9.04176	3.4033233692069076	2.1444539503470628	3.6467314038797856	2.786418219590514	-1.1402092740652996	0.4156757312561301	-0.5696063034353356
SC_15-20	13.280557328893781	47.3614039276283	13.33537	12.544859	3.965322405176863	-4.715573240190363	4.331389806795512	3.7675350258135754	-4.715573240190363	0.8453663818410403	-0.7920266408032288
SC_20-25	-43.988293546799966	-28.279529941122256	14.849054	10.202128	3.8699032070000854	0.21842625546381522	3.913805970903795	2.8863982490038276	-1.1603219014650723	0.7571515434687683	-0.728883807709892
SC_20-25	27.296992935938224	-4.120862209593017	12.666512	9.429163	3.643771397115912	1.7981248172475015	3.759220743755535	3.3747095059508245	-4.715573240190363	0.9727989902002757	0.32929994698685383
SC_15-20	73.89386176867022	-13.849954190126482	11.462037	8.859288	3.276774921466602	2.8757031786139344	3.7161612029091655	2.4494018966035895	-0.7088974745129466	1.3142689362666142	-0.30166688771355354
SC_15-20	87.68920487718287	10.456117349758834	11.068266	9.218372	3.2544739263925986	-4.715573240190363	3.585097427814924	2.8176783326452175	-4.715573240190363	0.5910768585924676	0.2743771201563623
SC_20-25	13.495912436835713	-12.840696790533462	13.038001	9.622053	3.7096220513809195	1.644566165139453	3.8356899221759737	3.0348696140388953	-0.20112512069663768	0.9980537897942329	0.35311697159980454
